english,tamil
"Fourteen months later, a second calf was born.","14 மாசம் கழிச்சு, ரெண்டாவது calf பிறந்துடுச்சு."
"Senior advocate Kapil Sibal, who appeared for Chidambaram, said that this condition is not right for an MP and he will not run anywhere.","Chidambaram-க்காக ஆஜர் ஆன Senior advocate Kapil Sibal, ஒரு MP-க்கு இந்த condition சரியில்லைன்னு சொல்லிட்டு, அவர் எங்கயும் ஓட மாட்டார்-ன்னு சொன்னாரு."
This photo was taken then.,இந்த photo அப்போ எடுத்தது.
"So far, there have been two rounds at the JWG meeting.",இதுவரைக்கும் JWG meeting-ல ரெண்டு round நடந்துருக்கு.
"The life of this world is only a game, and the life to come is good for the Godwary. Do you use your reason?","இந்த உலக வாழ்க்கை என்பது விளையாட்டு மட்டும் தான், மறுமை வாழ்க்கை தான் பயபக்தியுள்ளவர்களுக்கு நல்லது. உங்க reason-ஐ use பண்ணிக்கலையா?"
The maximum temperature will be around 35 degrees Celsius and the minimum temperature will be around 27 degrees Celsius.,"அதிகபட்ச வெப்பநிலை 35 degrees Celsius-ஆ இருக்கும், குறைந்தபட்ச வெப்பநிலை 27 degree-ஆ இருக்கும்னு சொல்லி இருக்காங்க."
"In all these lives, you can't tell what you choose. But your own experience can give a lot of things a colour. What does it look like - one on the top, one at the bottom. If you're a sibling or a child, if your experience is too painful, you're pushing them to the bottom.","இவ்வளவு வாழ்க்கைகள்லயும், நீங்க எதைத் தேர்ந்தெடுக்குறீங்கன்னு சொல்ல முடியாது. ஆனா, உங்க சொந்த experience நிறைய விஷயங்களுக்கு ஒரு colour-அ கொடுக்கும். அது எப்படி இருக்கும்- ஒருத்தர top-லயும், ஒருத்தர bottom-லயும். அப்படி ஒரு sibling அல்லது child-ஆ, உங்க experience ரொம்ப painful-ஆ இருந்தா, அவங்கள bottom-லயே push பண்ணிடுவீங்க."
"If they agree with what the speaker says, they will hum or grunted.","speaker சொன்ன ஒரு விஷயத்த அவங்க agree பண்ணா, hum பண்ணுவாங்க இல்லனா grunted பண்ணுவாங்க."
Farmers in this region grow paddy and wheat.,இந்த region-ல விவசாயிகள் அதிகமா paddy-ம் wheat-ம் பயிர் பண்றாங்க.
"Along with this, a video has also been released.","இதோட, ஒரு video-ம் release பண்ணிருக்காங்க."
Symptoms of tuberculosis,காச நோய்க்கு அறிகுறிகள்
"In this meeting, the decisions taken below:",இந்த meeting-ல கீழே உள்ள decisions எடுக்கப்பட்டது:
Special abishekam is performed to Lord Bhairava on Ashtami days.,அஷ்டமி நாட்களில் பைரவாருக்கு சிறப்பு அபிஷேகங்கள் செய்யப்படும்.
It's not your fault.,உங்க தவறு இல்ல.
So they held an election postpone in Jayanagar.,இதனால Jayanagar-ல election postpone பண்ணிட்டாங்க.
Where did that happiness come from?,அந்த சந்தோஷம் எதுல இருந்து வந்தது?
He has left the Maharashtra BJP MP Nana Patole Party and the Lok Sabha.,Maharashtra BJP MP Nana Patole party-யையும் Lok Sabha-யும் விட்டு விலகிட்டாரு.
